ADAMANTINA;adamant1@tjsp.jus.br;adamant2@tjsp.jus.br;adamant3@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGUAI;aguai@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LINDOIA;aguaslindoia@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGUDOS;agudos@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALTINOPOLIS;altinop@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA;americana1cv@tjsp.jus.br;americana2cv@tjsp.jus.br;americana3cv@tjsp.jus.br;americana4cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICO BRASILIENSE;americo1@tjsp.jus.br;americo2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMPARO;amparo1@tjsp.jus.br;amparo2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDRADINA;andradina1@tjsp.jus.br;andradina2@tjsp.jus.br;andradina3@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANGATUBA;angatuba@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
APARECIDA;aparecida1@tjsp.jus.br;aparecida2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
APIAI;apiai@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARACATUBA;upj1a5cvaracatuba@tjsp.jus.br;upj1a5cvaracatuba@tjsp.jus.br;upj1a5cvaracatuba@tjsp.jus.br;upj1a5cvaracatuba@tjsp.jus.br;upj1a5cvaracatuba@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARARAQUARA;araraq1cv@tjsp.jus.br;araraq2cv@tjsp.jus.br;araraq3cv@tjsp.jus.br;araraq4cv@tjsp.jus.br;araraq5cv@tjsp.jus.br;araraq6cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARARAS;araras1cv@tjsp.jus.br;araras2cv@tjsp.jus.br;araras3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARTUR NOGUEIRA;arturnogueira@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARUJA;aruja1@tjsp.jus.br;aruja2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASSIS;assis1cv@tjsp.jus.br;assis2cv@tjsp.jus.br;assis3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATIBAIA;atibaia1cv@tjsp.jus.br;atibaia2cv@tjsp.jus.br;atibaia3cv@tjsp.jus.br;atibaia4cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AURIFLAMA;auriflama@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVARE;avare1cv@tjsp.jus.br;avare2cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BANANAL;bananal@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARIRI;bariri@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRA BONITA;barrabonita1@tjsp.jus.br;barrabonita2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRETOS;barretos1cv@tjsp.jus.br;barretos2cv@tjsp.jus.br;barretos3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARUERI;barueri1cv@tjsp.jus.br;barueri2cv@tjsp.jus.br;barueri3cv@tjsp.jus.br;barueri4cv@tjsp.jus.br;barueri5cv@tjsp.jus.br;barueri6cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BASTOS;bastos@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BATATAIS;batatais@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAURU;bauru1cv@tjsp.jus.br;bauru2jec@tjsp.jus.br;bauru3cv@tjsp.jus.br;bauru4cv@tjsp.jus.br;bauru5cv@tjsp.jus.br;bauru6cv@tjsp.jus.br;bauru7cv@tjsp.jus.br;bauru2cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEBEDOURO;bebedouro1@tjsp.jus.br;bebedouro2@tjsp.jus.br;bebedouro3@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BERTIOGA;bertioga1@tjsp.jus.br;bertioga2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BILAC;bilac@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIRIGUI;birigui1cv@tjsp.jus.br;birigui2cv@tjsp.jus.br;birigui3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOITUVA;boituva1@tjsp.jus.br;boituva2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BORBOREMA;borborema@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTUCATU;botucatu1cv@tjsp.jus.br;botucatu2cv@tjsp.jus.br;botucatu3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
